,User agent,Version,OS,Hardware Type,Popularity,Software,Software Type
11,"Mozilla/5.0 (Linux; U; Android 4.1.1; zh-CN; GT-N7100 Build/JRO03C) AppleWebKit/534.31 (KHTML, like Gecko) UCBrowser/9.3.0.321 U3/0.8.0 Mobile Safari/534.31",9.3,Android,Mobile - Tablet,Average,,
12,"Mozilla/5.0 (Linux; U; Android 4.2.1; ru-RU; SHV-E300S Build/JOP40D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
13,"Mozilla/5.0 (Linux; U; Android 2.2.1; en-US; GT-S5830 Build/FROYO) AppleWebKit/534.31 (KHTML, like Gecko) UCBrowser/9.0.1.275 U3/0.8.0 Mobile Safari/534.31",9.0,Android,Mobile - Phone,Average,,
14,"Mozilla/5.0 (Linux; U; Android 4.2.1; ru-RU; SHV-E300K Build/JOP40D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
15,Mozilla/5.0 (S60V5; U; en-us; Nokia5250)/UC Browser8.2.0.132/50/355/UCWEB Mobile,8.2,Symbian,Mobile - Phone,Average,,
16,"Mozilla/5.0 (Linux; U; Android 4.2.1; ru-RU; Lenovo P780 Build/JOP40D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
17,"Mozilla/5.0 (Linux; U; Android 4.4.2; id; SM-G900 Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/9.9.2.467 U3/0.8.0 Mobile Safari/534.30",9.9,Android,Mobile - Phone,Average,,
18,"Mozilla/5.0 (Linux; U; Android 4.2.1; ru-RU; SPH-L720 Build/JOP40D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
19,"Mozilla/5.0 (Linux; U; Android 6.0.1; en-US; SM-G920F Build/LMY47X) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/10.10.0.796 U3/0.8.0 Mobile Safari/534.30",10.0,Android,Mobile - Phone,Average,,
20,NokiaC1-01/2.0 (05.45) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 (Java; U; en-us; nokiac1-01) UCBrowser8.2.1.144/70/355/UCWEB Mobile,8.2,--,Mobile - Phone,Average,,
21,"Mozilla/5.0 (Linux; U; Android 4.4.3; ru-RU; Xperia V Build/KTU84M) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
22,"Mozilla/5.0 (Linux; U; Android 5.0.2; ru-RU; GT-I9301I Build/LRX22G) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
23,"Mozilla/5.0 (Linux; U; Android 4.4.3; ru-RU; Lenovo A5500-H Build/KTU84M) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
24,"Mozilla/5.0 (Linux; U; Android 4.3.1; ru-RU; SM-G313HU Build/JLS36I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
25,NokiaC2-00/2.0 (03.45) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 (Java; U; kau; nokiac2-00) UCBrowser8.3.0.154/70/352/UCWEB Mobile,8.3,--,Mobile - Phone,Average,,
26,"Mozilla/5.0 (Linux; U; Android 4.4.4; en-US; XT1022 Build/KXC21.5-40) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/10.7.0.636 U3/0.8.0 Mobile Safari/534.30",10.7,Android,Mobile - Phone,Average,,
27,"Mozilla/5.0 (Linux; U; Android 4.4; ru-RU; Lenovo A526 Build/KRT16S) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
28,"Mozilla/5.0 (Linux; U; Android 5.0.1; ru-RU; SC-02G Build/LRX22C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
29,"Mozilla/5.0 (Linux; U; Android 5.0; ru-RU; SM-G3556D Build/LRX21T) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
30,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; SM-J327P Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
31,"Mozilla/5.0 (Linux; U; Android 5.0.1; ru-RU; SM-A500FQ Build/LRX22C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
32,"Mozilla/5.0 (Linux; U; Android 5.0.1; ru-RU; LT18i Build/LRX22C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
33,"Mozilla/5.0 (Linux; U; Android 5.0; ru-RU; SM-J100H Build/LRX21T) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
34,"Mozilla/5.0 (Linux; U; Android 2.3.1; en-US; AN10BG2DT Build/GINGERBREAD) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/10.0.1.512 U3/0.8.0 Mobile Safari/534.30",10.0,Android,Mobile,Average,,
35,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.89 Safari/537.36 UCBrowser/11.3.5.908",11.3,Windows,Computer,Average,,
36,"Mozilla/5.0 (Linux; U; Android 4.4.4; ru-RU; SM-G900AZ Build/KTU84P) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
37,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; SM-G906K Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
38,"Mozilla/5.0 (Linux; U; Android 4.4; ru-RU; GT-I9300I Build/KRT16S) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
39,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; SM-G900D Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
40,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; Fresh Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
41,"Mozilla/5.0 (Linux; Android 4.4.2; Lenovo A7600-H Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36 UCBrowser/3.0.0.357",3.0,Android,Mobile,Average,,
42,"Mozilla/5.0 (Linux; U; Android 4.4; ru-RU; Lenovo A5500-H Build/KRT16S) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
43,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; SC-02G Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
44,"Mozilla/5.0 (Linux; U; Android 5.0; ru-RU; SM-G850X Build/LRX21T) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
45,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; Lenovo K50-t5 Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
46,"Mozilla/5.0 (Linux; U; Android 4.4.2; en-us; XT1022 Build/KXC20.82-14) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 UCBrowser/9.8.5.442 U3/0.8.0 Mobile Safari/533.1",9.8,Android,Mobile - Phone,Average,,
47,"Mozilla/5.0 (Linux; U; Android 4.1.3; ru-RU; C1904 Build/GRK39F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
48,"Mozilla/5.0 (Linux; U; Android 6.0.1; pt-BR; D6543 Build/23.5.A.1.291) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/534.30",11.3,Android,Mobile,Average,,
49,"Mozilla/5.0 (Linux; U; Android 5.0.2; ru-RU; SM-G9006V Build/LRX22G) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
0,"Mozilla/5.0 (Linux; U; Android 5.0.1; ru-RU; SPH-I710T Build/LRX22C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
1,"Mozilla/5.0 (Linux; U; Android 4.2.2; en-US; Micromax A102 Build/MicromaxA102) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.1.0.882 U3/0.8.0 Mobile Safari/534.30",11.1,Android,Mobile - Tablet,Average,,
2,"Mozilla/5.0 (Linux; U; Android 4.2; ru-RU; ALCATEL ONE TOUCH 4030D Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
3,NokiaN70-1/5.0705.3.0.1 Series60/2.8 Profile/MIDP-2.0 Configuration/CLDC-1.1/UC Browser7.9.0.102/27/352/UCWEB,7.9,Symbian,Mobile - Phone,Average,,
4,"Mozilla/5.0 (Linux; U; Android 6.0; en-US; Lenovo A7000-a Build/MRA58K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/10.8.0.718 U3/0.8.0 Mobile Safari/534.30",10.8,Android,Mobile,Average,,
5,"Mozilla/5.0 (Linux; U; Android 5.0; ru-RU; SM-G900AZ Build/LRX21T) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
6,"Mozilla/5.0 (Linux; U; Android 5.0; ru-RU; SM-G5309W Build/LRX21T) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
7,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; Redmi Note 4 Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
8,"Mozilla/5.0 (Linux; U; Android 4.4; ru-RU; SCH-I939I Build/KRT16S) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
9,"Mozilla/5.0 (Linux; U; Android 5.0; ru-RU; SM-A5000 Build/LRX21T) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
10,"Mozilla/5.0 (Linux; U; Android 6.0; ru-RU; SM-J110G Build/MMB29K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
11,"Mozilla/5.0 (Linux; U; Android 5.0.2; ru-RU; Bepa G900W Build/LRX22G) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
12,"Mozilla/5.0 (Linux; U; Android 5.0.1; ru-RU; SM-G800M Build/LRX22C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
13,NokiaC2-03/2.0 (06.51) Profile/MIDP-2.1 Configuration/CLDC-1.1 nokiac2-03/UC Browser8.0.3.107/70/355,8.0,--,Mobile - Phone,Average,,
14,"Mozilla/5.0 (Linux; U; Android 4.1.3; ru-RU; ALCATEL ONE TOUCH 4030D Build/GRK39F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile,Average,,
15,"Mozilla/5.0 (Linux; U; Android 5.0.1; ru-RU; SM-G3556D Build/LRX22C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
16,"Mozilla/5.0 (Linux; U; Android 4.4.3; ru-RU; SM-G870W Build/KTU84M) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.3.0.950 U3/0.8.0 Mobile Safari/E7FBAF",11.3,Android,Mobile - Phone,Average,,
17,"Mozilla/5.0 (Linux; U; Android 5.1; en-US; BQS_5505 Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/40.0.2214.89 UCBrowser/11.4.8.1012 Mobile Safari/537.36",11.4,Android,Mobile,Average,,
